date,etf_net_flows_billions,mf_net_flows_billions,rolling_corr
2020-03-31,72.3,-148.2,
2020-06-30,154.6,-89.4,
2020-09-30,189.2,-102.7,
2020-12-31,212.4,-71.3,0.9207340683231343
2021-03-31,198.7,-98.6,0.3200074864314104
2021-06-30,221.3,-112.4,0.050608084076866386
2021-09-30,234.1,-134.8,-0.6839722597167633
2021-12-31,281.6,-87.2,0.3308917772998022
2022-03-31,158.4,-198.4,0.9452451385345306
2022-06-30,97.2,-267.1,0.9983347916996161
2022-09-30,124.8,-189.3,0.9520862314936565
2022-12-31,143.1,-143.6,0.7273211705368163
2023-03-31,177.6,-164.2,0.8021794554258183
2023-06-30,201.4,-178.9,-0.01963427811463545
2023-09-30,218.9,-201.4,-0.9836214672800649
2023-12-31,264.3,-187.6,-0.6166193039875809
2024-03-31,277.1,-212.3,-0.593608965910578
2024-06-30,298.4,-198.7,-0.048456481775863924
2024-09-30,312.7,-221.4,-0.697324849099923
2024-12-31,341.2,-234.8,-0.7600920156305401
2025-03-31,298.6,-267.4,-0.0328640212264011
2025-06-30,334.1,-289.1,-0.024656820130006533
2025-09-30,303.7,-298.3,0.48463890981450397
