period,passive_launches,active_launches,total_launches,active_share,fitted_active_share
Q1 2022,208,93,301,0.3089700996677741,0.2857961328887662
Q2 2022,195,88,283,0.31095406360424027,0.30877512429469545
Q3 2022,248,103,351,0.2934472934472934,0.33123178957480415
Q4 2022,168,87,255,0.3411764705882353,0.3528718577490322
Q1 2023,217,134,351,0.3817663817663818,0.3734445625366654
Q2 2023,227,151,378,0.3994708994708995,0.3927523169505784
Q3 2023,247,194,441,0.4399092970521542,0.41065514042542206
Q4 2023,232,170,402,0.4228855721393035,0.4270701299937179
Q1 2024,286,180,466,0.38626609442060084,0.4419668865176586
Q2 2024,253,248,501,0.49500998003992014,0.4553601427346702
Q3 2024,307,262,569,0.46045694200351495,0.467300895282109
Q4 2024,299,312,611,0.5106382978723404,0.4778671854530075
Q1 2025,350,330,680,0.4852941176470588,0.4871553965678248
Q2 2025,431,385,816,0.47181372549019607,0.4952726262407751
